price,accommodates,bedrooms,beds,room_type,property_type,latitude,longitude,availability_365,minimum_nights,maximum_nights,number_of_reviews,bathrooms
1495.0,4,2.0,2.0,Entire home/apt,Entire rental unit,51.50504,-0.14914,269,5,365,0,2.0
499.0,7,3.0,4.0,Entire home/apt,Entire rental unit,51.495012,-0.131186,166,3,90,36,2.5
38.0,2,1.0,2.0,Private room,Private room in townhouse,51.52198,0.02419,98,14,1125,32,1.0
206.0,3,2.0,2.0,Entire home/apt,Entire rental unit,51.51204,-0.18674,48,3,730,11,2.0
180.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.496,-0.18592,166,4,365,1,1.0
216.0,6,2.0,3.0,Entire home/apt,Entire condo,51.46013,-0.17067,313,4,1125,22,1.0
75.0,2,1.0,1.0,Private room,Private room in rental unit,51.44321,-0.18781,364,3,1125,0,1.0
283.0,2,1.0,1.0,Entire home/apt,Entire condo,51.47172,-0.23829,268,3,30,6,1.0
226.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.51688129999999,-0.1488878,78,30,1125,0,1.0
88.0,2,0.0,0.0,Entire home/apt,Entire rental unit,51.549001906891206,-0.2203229185169928,304,1,365,0,1.0
86.0,3,1.0,2.0,Entire home/apt,Entire condo,51.44896360627963,-0.1182300206855708,235,2,1125,108,1.0
252.0,3,2.0,2.0,Entire home/apt,Entire rental unit,51.52602,-0.20253,96,2,365,6,1.0
54.0,1,1.0,1.0,Private room,Private room in home,51.54671,-0.03494,56,2,730,14,1.0
266.0,7,3.0,5.0,Entire home/apt,Entire rental unit,51.5403428,-0.1886558,327,2,1125,0,3.0
54.0,3,1.0,1.0,Private room,Private room in rental unit,51.47002,-0.04134,75,1,180,64,1.0
55.0,2,1.0,1.0,Private room,Private room in rental unit,51.62908091600256,-0.0516138426482132,178,1,28,0,1.0
129.0,2,1.0,2.0,Entire home/apt,Entire rental unit,51.54534,-0.04963,62,4,35,63,1.0
185.0,5,2.0,3.0,Entire home/apt,Entire rental unit,51.47713,-0.12403,139,3,30,6,1.0
57.0,2,1.0,1.0,Private room,Private room in condo,51.4519,-0.13235,204,3,20,39,1.0
162.0,2,1.0,2.0,Entire home/apt,Entire rental unit,51.57303,-0.02909,267,2,30,0,1.0
45.0,1,1.0,1.0,Private room,Private room in home,51.61331465064983,-0.06562790890142,364,5,365,0,1.5
38.0,2,1.0,1.0,Private room,Private room in home,51.57945,-0.41415,51,1,31,161,1.0
31.0,1,1.0,1.0,Private room,Private room in rental unit,51.40985,-0.11006,30,1,1125,38,0.0
293.0,3,1.0,1.0,Entire home/apt,Entire rental unit,51.56862,-0.11247,358,28,365,0,1.0
84.0,2,1.0,1.0,Entire home/apt,Entire cabin,51.5194,-0.48418,293,1,1125,113,1.0
300.0,4,2.0,2.0,Entire home/apt,Entire condo,51.47916,-0.19069,250,5,90,61,2.0
386.0,6,3.0,3.0,Entire home/apt,Entire home,51.5078622,-0.2326421,363,3,1125,0,2.5
85.0,2,1.0,2.0,Entire home/apt,Entire rental unit,51.575279671639606,-0.2134332917012087,153,2,365,37,1.5
149.0,3,2.0,2.0,Private room,Private room in rental unit,51.492561176673405,-0.197387472135785,216,1,365,0,2.0
63.0,2,1.0,1.0,Private room,Private room in rental unit,51.52943,-0.11232,308,1,1125,164,1.0
114.0,4,1.0,2.0,Entire home/apt,Entire condo,51.58932639638579,-0.0615037232637405,306,2,365,29,1.0
122.0,2,0.0,1.0,Entire home/apt,Entire rental unit,51.51058,-0.07216,7,1,365,37,1.0
48.0,1,1.0,1.0,Private room,Private room in home,51.5014237,-0.2834304,6,4,90,18,1.5
227.0,6,1.0,2.0,Entire home/apt,Entire rental unit,51.4940565034452,-0.1309505412245411,365,1,1,4,1.0
414.0,14,5.0,11.0,Entire home/apt,Entire home,51.55124,-0.12328,365,14,999,0,2.5
225.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.52763,-0.28399,364,1,365,0,1.0
342.0,4,2.0,2.0,Entire home/apt,Entire serviced apartment,51.49827,-0.01862,361,3,365,27,2.0
345.0,4,2.0,2.0,Entire home/apt,Entire rental unit,51.54750822321191,-0.1648331111991784,261,2,365,19,2.0
185.0,4,2.0,2.0,Entire home/apt,Entire rental unit,51.44798,-0.0702,111,3,365,0,2.0
65.0,2,1.0,1.0,Private room,Private room in home,51.43627032923818,-0.1064947620034217,359,2,1125,16,1.0
150.0,5,2.0,4.0,Entire home/apt,Entire rental unit,51.4332,-0.15931,136,2,365,14,1.0
57.0,2,1.0,1.0,Private room,Private room in home,51.58495,-0.08562,365,1,90,21,2.0
46.0,2,1.0,1.0,Private room,Private room in home,51.4755756677364,-0.106698709262083,2,1,365,7,2.5
225.0,4,2.0,2.0,Entire home/apt,Entire home,51.46543,-0.12383,212,3,60,23,1.0
36.0,1,1.0,1.0,Private room,Private room in home,51.55346108369177,-0.2686921866873134,90,1,30,64,1.0
292.0,4,1.0,1.0,Entire home/apt,Entire rental unit,51.47349,-0.18351,347,7,120,7,0.0
1304.0,6,3.0,3.0,Entire home/apt,Entire rental unit,51.51547284849953,-0.1129495043910086,74,3,365,7,2.0
115.0,1,1.0,1.0,Private room,Private room in rental unit,51.5247055322785,-0.0348077450616111,140,3,365,1,1.0
114.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.569177754367445,0.0158372047143744,273,7,365,0,1.5
60.0,2,1.0,1.0,Private room,Private room in rental unit,51.6015962,-0.2809474,364,1,365,0,1.0
85.0,2,2.0,1.0,Entire home/apt,Entire condo,51.40133,-0.08125,254,3,365,3,1.0
140.0,4,1.0,1.0,Entire home/apt,Entire rental unit,51.52515841938637,-0.1681413920950397,259,1,365,15,1.0
320.0,2,1.0,1.0,Entire home/apt,Entire rental unit,51.51191,-0.07468,254,7,365,0,1.0
99.0,3,1.0,1.0,Entire home/apt,Entire rental unit,51.52003,-0.11959,347,1,365,1,1.0
40.0,1,1.0,1.0,Private room,Private room in home,51.54907675763607,0.0773019343614578,269,1,365,0,
292.0,5,2.0,4.0,Entire home/apt,Entire rental unit,51.4056927,-0.1296985,361,14,365,0,1.0
516.0,7,4.0,3.0,Entire home/apt,Entire home,51.45419824666399,-0.19796413809815,105,2,90,26,2.5
71.0,2,1.0,1.0,Private room,Private room in guesthouse,51.56635,-0.22089,310,1,1125,0,1.0
750.0,6,5.0,6.0,Entire home/apt,Entire home,51.65746385046951,-0.2268954366445541,365,15,365,0,2.5
86.0,2,1.0,1.0,Private room,Private room in condo,51.47337,-0.02148,64,2,1125,227,1.0
152.0,4,1.0,2.0,Entire home/apt,Entire rental unit,51.48818229420888,-0.2211099170622079,150,4,90,4,2.0
159.0,4,1.0,2.0,Entire home/apt,Entire rental unit,51.51796,-0.16535,234,1,1125,26,1.0
689.0,5,3.0,3.0,Entire home/apt,Entire serviced apartment,51.518425,-0.151872,82,7,365,34,2.0
63.0,2,1.0,1.0,Private room,Private room in home,51.5104,-0.05206,344,3,120,66,2.0
500.0,8,3.0,3.0,Entire home/apt,Entire home,51.49631,-0.1828,365,25,588,1,3.0
130.0,4,2.0,2.0,Entire home/apt,Entire home,51.60683,-0.25237,270,6,1125,0,1.0
230.0,4,1.0,2.0,Entire home/apt,Entire rental unit,51.51823,-0.18773,364,1,1125,0,1.0
116.0,2,1.0,1.0,Private room,Private room in home,51.5271736861621,-0.0618751051804414,365,1,365,0,1.0
500.0,3,1.0,2.0,Private room,Private room in rental unit,51.49307,-0.11388,245,2,1125,1,1.0
